S.NO,CAMPAIGN NAME,Domain name
1,AU Bank Credit Card CPL,cconboarding.aubank.in
2,AbeBooks,abebooks.com
3,Aceblend,aceblend.com
4,Acer,store.acer.com
5,AdCreative.ai,adcreative.ai
6,Adidas,adidas.co.in
7,Adventuras,adventuras.in
8,Agaro,agarolifestyle.com
9,AiSDR,aisdr.com
10,Air Doctor,air-dr.com
11,Air India,airindia.com
12,Air India Express,airindiaexpress.com
13,Airhelp,airhelp.com
14,Airia,airia.com
15,Airpaz,airpaz.com
16,Ajio,ajio.com
17,Ajio Gram,ajiogram.ajio.com
18,Ajmal Perfumes,in.ajmal.com
19,Alamy,alamy.com
20,Aldo,aldoshoes.in
21,AliExpress,aliexpress.com
22,Alibaba,offer.alibaba.com
23,All Man,allman.in
24,Amplechairs,amplechairs.co.in
25,Amplitude,amplitude.com
26,Anantara,anantara.com
27,Annie cloth,anniecloth.com
28,Anny Fashion,styleanny.in
29,Apollo.io,apollo.io
30,AppMySite,appmysite.com
31,Appsumo,appsumo.com
32,Aqualogica,aqualogica.in
33,Aramya,aramya.in
34,Arata,arata.in
35,Areoveda,areoveda.in
36,Assamicaagro,assamicaagro.in
37,Assembly Travels,assemblytravel.com
38,Asus India,asus.com
39,Atjewels,atjewels.in
40,Aumnicrafts,aumnicrafts.in
41,Autobacsindia,autobacsindia.com
42,Autodesk,autodesk.in
43,Autonomous,autonomous.ai
44,Avira,avira.com
45,Avon,avon.co.in
46,Avshack,avshack.in
47,Axis Credit Card CPL,web.axisbank.co.in
48,Ayuralpha,ayuralpha.in
49,Ayushcare,ayushcare.in
50,Ayuvya,ayuvya.com
51,BILL,bill.com
52,BINGE Movies & TV,trybinge.tv
53,BLACKBOX AI,blackbox.ai
54,Bajaj general insurance CPL,bajajgeneralinsurance.com
55,Banana Club,bananaclub.co.in
56,Banggood,banggood.com
57,Banggood India,banggood.in
58,Bangkokair,bangkokair.com
59,Banjaraindia,banjaraindia.com
60,Bank of Baroda Credit Card,mycard.bobcard.tech
61,Bcengi,bcengi.com
62,BeBodywise,bebodywise.com
63,Beardo,beardo.in
64,Beastlife,beastlife.in
65,BeatO,shop.beatoapp.com
66,Beautytalk,beautytalk.in
67,Beautywise,beautywise.in
68,Bee-link,bee-link.com
69,Bersache,bersache.com
70,Bewakoof,bewakoof.com
71,Biba,biba.in
72,Big Muscles,bigmusclesnutrition.com
73,BigRock,bigrock.in
74,Bitbrand,bitbrand.com
